Date,Low,Open,Volume,High,Close,Adjusted Close
23-10-1973,0.3462890088558197,0.0,271666,0.3755530118942261,0.3462890088558197,0.1463453769683838
24-10-1973,0.3365339934825897,0.0,304984,0.3462890088558197,0.3365339934825897,0.14222291111946106
25-10-1973,0.32190200686454773,0.0,235786,0.3414109945297241,0.32190200686454773,0.13603927195072174
26-10-1973,0.30726999044418335,0.0,169151,0.32677900791168213,0.30726999044418335,0.12985560297966003
29-10-1973,0.29263800382614136,0.0,315236,0.31214800477027893,0.29263800382614136,0.1236720010638237
30-10-1973,0.2584969997406006,0.0,205031,0.28288400173187256,0.2584969997406006,0.10924357175827026
31-10-1973,0.28288400173187256,0.0,289607,0.30239298939704895,0.28288400173187256,0.11954975128173828
01-11-1973,0.28288400173187256,0.0,84575,0.30239298939704895,0.28288400173187256,0.11954975128173828
02-11-1973,0.29263800382614136,0.0,212720,0.31214800477027893,0.29263800382614136,0.1236720010638237
05-11-1973,0.2731289863586426,0.0,53821,0.29751598834991455,0.2731289863586426,0.11542715132236481
06-11-1973,0.2584969997406006,0.0,115330,0.28288400173187256,0.2584969997406006,0.10924357175827026
07-11-1973,0.263374000787735,0.0,82013,0.28288400173187256,0.263374000787735,0.11130465567111969
08-11-1973,0.2438649982213974,0.0,61509,0.2584969997406006,0.2438649982213974,0.10305990278720856
09-11-1973,0.2438649982213974,0.0,135833,0.2584969997406006,0.2438649982213974,0.10305990278720856
12-11-1973,0.238987997174263,0.0,25629,0.2584969997406006,0.238987997174263,0.10099882632493973
13-11-1973,0.2341109961271286,0.0,179402,0.2438649982213974,0.2341109961271286,0.09893783181905746
14-11-1973,0.22435599565505981,0.0,69198,0.2438649982213974,0.22435599565505981,0.09481523931026459
15-11-1973,0.22435599565505981,0.0,61509,0.2438649982213974,0.22435599565505981,0.09481523931026459
16-11-1973,0.2341109961271286,0.0,146085,0.2536199986934662,0.2341109961271286,0.09893783181905746
19-11-1973,0.2341109961271286,0.0,69198,0.2438649982213974,0.2341109961271286,0.09893783181905746
20-11-1973,0.21460099518299103,0.0,171714,0.2341109961271286,0.21460099518299103,0.0906926691532135
21-11-1973,0.20972399413585663,0.0,38443,0.2341109961271286,0.20972399413585663,0.08863160759210587
23-11-1973,0.20972399413585663,0.0,115330,0.2341109961271286,0.20972399413585663,0.08863160759210587
26-11-1973,0.19509199261665344,0.0,69198,0.21460099518299103,0.19509199261665344,0.08244794607162476
27-11-1973,0.19021500647068024,0.0,79450,0.20972399413585663,0.19021500647068024,0.08038689196109772
28-11-1973,0.19021500647068024,0.0,7689,0.20972399413585663,0.19021500647068024,0.08038689196109772
29-11-1973,0.18046000599861145,0.0,28192,0.19997000694274902,0.18046000599861145,0.07626428455114365
30-11-1973,0.17070600390434265,0.0,48695,0.19509199261665344,0.17070600390434265,0.07214217633008957
03-12-1973,0.19021500647068024,0.0,164025,0.20972399413585663,0.19021500647068024,0.08038689196109772
04-12-1973,0.18046000599861145,0.0,222971,0.19997000694274902,0.18046000599861145,0.07626428455114365
05-12-1973,0.18046000599861145,0.0,184528,0.19509199261665344,0.18046000599861145,0.07626428455114365
06-12-1973,0.18046000599861145,0.0,2563,0.19509199261665344,0.18046000599861145,0.07626428455114365
07-12-1973,0.19021500647068024,0.0,7689,0.20972399413585663,0.19021500647068024,0.08038689196109772
10-12-1973,0.19509199261665344,0.0,212720,0.21460099518299103,0.19509199261665344,0.08244794607162476
11-12-1973,0.21460099518299103,0.0,243475,0.2341109961271286,0.21460099518299103,0.0906926691532135
12-12-1973,0.21460099518299103,0.0,312673,0.2341109961271286,0.21460099518299103,0.0906926691532135
13-12-1973,0.19509199261665344,0.0,174277,0.21460099518299103,0.19509199261665344,0.08244794607162476
14-12-1973,0.19509199261665344,0.0,92264,0.21460099518299103,0.19509199261665344,0.08244794607162476
17-12-1973,0.19509199261665344,0.0,5126,0.21460099518299103,0.19509199261665344,0.08244794607162476
18-12-1973,0.19509199261665344,0.0,76887,0.21460099518299103,0.19509199261665344,0.08244794607162476
19-12-1973,0.18046000599861145,0.0,53821,0.19997000694274902,0.18046000599861145,0.07626428455114365
20-12-1973,0.18046000599861145,0.0,199905,0.19997000694274902,0.18046000599861145,0.07626428455114365
21-12-1973,0.20972399413585663,0.0,222971,0.2341109961271286,0.20972399413585663,0.08863160759210587
